nom_amenageur;siren_amenageur;contact_amenageur;nom_operateur;contact_operateur;telephone_operateur;nom_enseigne;id_station_itinerance;id_station_local;nom_station;implantation_station;adresse_station;code_insee_commune;Nombre points de charge;id_pdc_itinerance;id_pdc_local;puissance_nominale;prise_type_ef;prise_type_2;prise_type_combo_ccs;prise_type_chademo;prise_type_autre;gratuit;paiement_acte;paiement_cb;paiement_autre;tarification;condition_acces;reservation;horaires;accessibilite_pmr;restriction_gabarit;station_deux_roues;raccordement;num_pdl;date_mise_en_service;Observations;Date de mise Ã  jour;cable_t2_attache;last_modified;datagouv_dataset_id;datagouv_resource_id;datagouv_organization_or_owner;consolidated_longitude;consolidated_latitude;consolidated_code_postal;consolidated_commune;consolidated_is_lon_lat_correct;consolidated_is_code_insee_verified;Localisation;libelle_region;code_region;libelle_departement;libelle_epci;siret_epci;libelle_commune;department;tranche_puissance;dep_b
SYDEV;200042489.0;accueil@sydev-vendee.fr;SPIE CITYNETWORKS;assistance-technique@ouestcharge-paysdelaloire-moncompte.fr;970830213;SYDEV;FRS85P85215B;;OuestCharge - Diva Sp - Saint-Fulgent - Mairie;Voirie;Place de la Mairie 85250 SAINT-FULGENT (85);85215;2.0;FRS85E852150011;;22;true;true;false;false;false;false;true;false;true;https://www.ouestcharge-paysdelaloire-moncompte.fr/fr/tarifs;AccÃ¨s libre;false;24-juil;Accessible mais non rÃ©servÃ© PMR;Aucune restriction;false;;;08/04/2021;;04/11/2022;;2023-02-26T09:51:53+01:00;54b7ce3ec751df56d15fa5a2;e2440b2b-9eac-4533-8eba-9da82c1877b4;sydev;-1.17687;46.85087;85250.0;Saint-Fulgent;True;True;46.85087, -1.17687;Pays de la Loire;52;VendÃ©e;CC du Pays de Saint-Fulgent - Les Essarts;200071918.0;Saint-Fulgent;;22.0;85
SYDEV;200042489.0;accueil@sydev-vendee.fr;SPIE CITYNETWORKS;assistance-technique@ouestcharge-paysdelaloire-moncompte.fr;970830213;SYDEV;FRS85P85217A;;OuestCharge - Diva Sp - Saint-Georges-de-Montaigu - Dronneau;Voirie;Place Raymond Dronneau 85600 SAINT-GEORGES-DE-MONTAIGU (85);85217;2.0;FRS85E852170011;;22;true;true;false;false;false;false;true;false;true;https://www.ouestcharge-paysdelaloire-moncompte.fr/fr/tarifs;AccÃ¨s libre;false;24-juil;Accessible mais non rÃ©servÃ© PMR;Aucune restriction;false;;;31/05/2021;;04/11/2022;;2023-02-26T09:51:53+01:00;54b7ce3ec751df56d15fa5a2;e2440b2b-9eac-4533-8eba-9da82c1877b4;sydev;-1.29718;46.947361;;;False;False;46.947361, -1.29718;Pays de la Loire;52;VendÃ©e;CA Terres de Montaigu;200070233.0;Montaigu-VendÃ©e;;22.0;85
SYDEV;200042489.0;accueil@sydev-vendee.fr;SPIE CITYNETWORKS;assistance-technique@ouestcharge-paysdelaloire-moncompte.fr;970830213;SYDEV;FRS85P85224A;;OuestCharge - E-Twin - Saint-Hilaire-de-Loulay - Giraudet;Voirie;Rue l'Abbe Rene Giraudet 85600 SAINT-HILAIRE-DE-LOULAY (85);85224;2.0;FRS85E852240012;;22;true;true;false;false;false;false;true;false;true;https://www.ouestcharge-paysdelaloire-moncompte.fr/fr/tarifs;AccÃ¨s libre;false;24-juil;Accessible mais non rÃ©servÃ© PMR;Aucune restriction;false;;;30/04/2021;;04/11/2022;;2023-02-26T09:51:53+01:00;54b7ce3ec751df56d15fa5a2;e2440b2b-9eac-4533-8eba-9da82c1877b4;sydev;-1.33125;47.00351;;;False;False;47.00351, -1.33125;Pays de la Loire;52;VendÃ©e;CA Terres de Montaigu;200070233.0;Montaigu-VendÃ©e;;22.0;85
SYDEV;200042489.0;accueil@sydev-vendee.fr;SPIE CITYNETWORKS;assistance-technique@ouestcharge-paysdelaloire-moncompte.fr;970830213;SYDEV;FRS85P85191J;;OuestCharge - Quick Charger - La Roche-sur-Yon - Palissy;Voirie;Giratoire Palissy - Impasse BÃ©cquerel 85000 LA ROCHE-SUR-YON (85);85191;1.0;FRS85E851910041;;50;false;false;false;true;false;false;true;false;true;https://www.ouestcharge-paysdelaloire-moncompte.fr/fr/tarifs;AccÃ¨s libre;false;24-juil;Accessible mais non rÃ©servÃ© PMR;Aucune restriction;false;;;23/04/2021;;04/11/2022;;2023-02-26T09:51:53+01:00;54b7ce3ec751df56d15fa5a2;e2440b2b-9eac-4533-8eba-9da82c1877b4;sydev;-1.4291;46.6909;85000.0;La Roche-sur-Yon;True;True;46.6909, -1.4291;Pays de la Loire;52;VendÃ©e;CA La Roche-sur-Yon AgglomÃ©ration;248500589.0;La Roche-sur-Yon;;50.0;85
SYDEV;200042489.0;accueil@sydev-vendee.fr;SPIE CITYNETWORKS;assistance-technique@ouestcharge-paysdelaloire-moncompte.fr;970830213;SYDEV;FRS85P85194B;;OuestCharge - Diva Sp - Les Sables-d'Olonne - Boucaniers;Voirie;Quai des Boucaniers - Place Maraud 85100 LES SABLES-D'OLONNE (85);85194;2.0;FRS85E851940031;;22;true;true;false;false;false;false;true;false;true;https://www.ouestcharge-paysdelaloire-moncompte.fr/fr/tarifs;AccÃ¨s libre;false;24-juil;Accessible mais non rÃ©servÃ© PMR;Aucune restriction;false;;;02/04/2021;;04/11/2022;;2023-02-26T09:51:53+01:00;54b7ce3ec751df56d15fa5a2;e2440b2b-9eac-4533-8eba-9da82c1877b4;sydev;-1.79573;46.494049;;Les Sables-d'Olonne;True;True;46.494049, -1.79573;Pays de la Loire;52;VendÃ©e;CA Les Sables d'Olonne AgglomÃ©ration;200071165.0;Les Sables-d'Olonne;;22.0;85
SYDEV;200042489.0;accueil@sydev-vendee.fr;SPIE CITYNETWORKS;assistance-technique@ouestcharge-paysdelaloire-moncompte.fr;970830213;SYDEV;FRS85P85135A;;OuestCharge - Diva Sp - Mareuil-sur-Lay-Dissais - Halles;Voirie;Place des Halles - IlÃ´t Marillet 85320 MAREUIL-SUR-LAY-DISSAIS (85);85135;2.0;FRS85E851350011;;22;true;true;false;false;false;false;true;false;true;https://www.ouestcharge-paysdelaloire-moncompte.fr/fr/tarifs;AccÃ¨s libre;false;24-juil;Accessible mais non rÃ©servÃ© PMR;Aucune restriction;false;;;06/04/2021;;04/11/2022;;2023-02-26T09:51:53+01:00;54b7ce3ec751df56d15fa5a2;e2440b2b-9eac-4533-8eba-9da82c1877b4;sydev;-1.22376;46.53632;85320.0;Mareuil-sur-Lay-Dissais;True;True;46.53632, -1.22376;Pays de la Loire;52;VendÃ©e;CC Sud VendÃ©e Littoral;200073260.0;Mareuil-sur-Lay-Dissais;;22.0;85
SYDEV;200042489.0;accueil@sydev-vendee.fr;SPIE CITYNETWORKS;assistance-technique@ouestcharge-paysdelaloire-moncompte.fr;970830213;SYDEV;FRS85P85027A;;OuestCharge - Quick Charger - Bouffere - Flechet;Voirie;Rue du FlÃ©chet 85600 BOUFFERE (85);85027;2.0;FRS85E850270012;;22;false;true;false;false;false;false;true;true;true;https://www.ouestcharge-paysdelaloire-moncompte.fr/fr/tarifs;AccÃ¨s libre;false;24-juil;Accessible mais non rÃ©servÃ© PMR;Aucune restriction;false;;;20/09/2022;;04/11/2022;;2023-02-26T09:51:53+01:00;54b7ce3ec751df56d15fa5a2;e2440b2b-9eac-4533-8eba-9da82c1877b4;sydev;-1.351041;46.957664;;;False;False;46.957664, -1.351041;Pays de la Loire;52;VendÃ©e;CA Terres de Montaigu;200070233.0;Montaigu-VendÃ©e;;22.0;85
SYDEV;200042489.0;accueil@sydev-vendee.fr;SPIE CITYNETWORKS;assistance-technique@ouestcharge-paysdelaloire-moncompte.fr;970830213;SYDEV;FRS85P85034A;;OuestCharge - Diva Sp - Bournezeau - Papillons;Voirie;Place des Papillons 85480 BOURNEZEAU (85);85034;2.0;FRS85E850340011;;22;true;true;false;false;false;false;true;false;true;https://www.ouestcharge-paysdelaloire-moncompte.fr/fr/tarifs;AccÃ¨s libre;false;24-juil;Accessible mais non rÃ©servÃ© PMR;Aucune restriction;false;;;04/05/2021;;04/11/2022;;2023-02-26T09:51:53+01:00;54b7ce3ec751df56d15fa5a2;e2440b2b-9eac-4533-8eba-9da82c1877b4;sydev;-1.17294;46.63612;85480.0;Bournezeau;True;True;46.63612, -1.17294;Pays de la Loire;52;VendÃ©e;CC Pays de Chantonnay;248500340.0;Bournezeau;;22.0;85
SYDEV;200042489.0;accueil@sydev-vendee.fr;SPIE CITYNETWORKS;assistance-technique@ouestcharge-paysdelaloire-moncompte.fr;970830213;SYDEV;FRS85P85047B;;OuestCharge - E-Twin - Challans - Europe;Voirie;Place de l'Europe 85300 CHALLANS (85);85047;2.0;FRS85E850470031;;22;true;true;false;false;false;false;true;false;true;https://www.ouestcharge-paysdelaloire-moncompte.fr/fr/tarifs;AccÃ¨s libre;false;24-juil;Accessible mais non rÃ©servÃ© PMR;Aucune restriction;false;;;25/03/2021;;04/11/2022;;2023-02-26T09:51:53+01:00;54b7ce3ec751df56d15fa5a2;e2440b2b-9eac-4533-8eba-9da82c1877b4;sydev;-1.88028;46.84565;85300.0;Challans;True;True;46.84565, -1.88028;Pays de la Loire;52;VendÃ©e;CC Challans-Gois CommunautÃ©;200071629.0;Challans;;22.0;85
SYDEV;200042489.0;accueil@sydev-vendee.fr;SPIE CITYNETWORKS;assistance-technique@ouestcharge-paysdelaloire-moncompte.fr;970830213;SYDEV;FRS85P85051A;;OuestCharge - Diva Sp - Chantonnay - Jeanne d'Arc;Voirie;Place Jeanne d'Arc 85110 CHANTONNAY (85);85051;2.0;FRS85E850510011;;22;true;true;false;false;false;false;true;false;true;https://www.ouestcharge-paysdelaloire-moncompte.fr/fr/tarifs;AccÃ¨s libre;false;24-juil;Accessible mais non rÃ©servÃ© PMR;Aucune restriction;false;;;05/05/2021;;04/11/2022;;2023-02-26T09:51:53+01:00;54b7ce3ec751df56d15fa5a2;e2440b2b-9eac-4533-8eba-9da82c1877b4;sydev;-1.05157;46.686314;85110.0;Chantonnay;True;True;46.686314, -1.05157;Pays de la Loire;52;VendÃ©e;CC Pays de Chantonnay;248500340.0;Chantonnay;;22.0;85
